concept1,concept2,label
Dynamic memory allocation,Quantum mechanics,0
Computer vision,Analysis of algorithms,1
Query optimization,Database,1
Social network,Graph theory,1
Very long instruction word,Matrix (mathematics),0
Array data structure,Data structure,1
Software framework,Control flow,1
Sparse matrix,Database normalization,0
Dynamic memory allocation,Operating system,1
Object-oriented programming,Structured programming,1
Machine learning,Markov chain,1
Estimation theory,Probability,1
Instruction set,Bioinformatics,0
Linear system,Matrix (mathematics),1
Concurrency (computer science),Parallel computing,1
Conditional probability,Python (programming language),0
Tensor,Symbol table,0
Software engineering,Theory of computation,1
Database,Data structure,1
Model of computation,Computation,1
Formal language,String (computer science),1
PSPACE,Turing machine,1
Polymorphism (computer science),Rendering (computer graphics),0
Algorithm design,Computer science,1
Graphics processing unit,Parallel computing,1
Python (programming language),Computer programming,1
Statistics,Data structure,0
Control flow,Programming language,1
Finite-state machine,Bioinformatics,0
Turing machine,Finite-state machine,1
Computer network,Computer science,1
Relational model,Predicate logic,1
Monad (functional programming),Digital signature,0
Monte Carlo method,Integral,1
Estimation theory,Statistical inference,1
Randomness,Automata theory,0
Symbol table,GPU,0
Computer science,Discrete mathematics,1
Social network,Syntax,0
Volume rendering,Cache coherence,0
Perl,Compiler,1
Gradient descent,Algorithm,1
Traffic analysis,Programmer,0
Internet,Routing,1
Computer network,Computer science,1
Compiler,Computer architecture,1
Computer science,Multiplication,0
Cryptography,Modular arithmetic,1
Concurrency control,Computer,1
Pattern recognition,Computer science,1
Undecidable problem,Computational complexity theory,1
Boundary value problem,Distributed algorithms,0
Personal computer,Synchronization,0
Calculus,Mathematics,1
Web browser,Shading,0
Concurrent computing,Computer programming,0
Pipeline (computing),Central processing unit,1
Kinematics,Stochastic,0
Scripting language,ML (programming language),0
Computational problem,Computing,0
Symmetric multiprocessing,Algorithm design,0
Software design,Abstract data type,0
Database management system,Database,1
Graphics processing unit,Computer graphics,1
Semidefinite programming,Approximation algorithm,1
Firewall (computing),Computer security,1
Formal verification,Social network,0
C (programming language),Computer programming,1
Imperative programming,Variable (computer science),1
Probability,Estimation theory,0
Statistical hypothesis testing,Random variable,1
Model of computation,Mechanical engineering,0
Operating system,Computer,1
Internet,Number theory,0
Program analysis,Input/output,0
Multiplication,Semantics,0
Prolog,Python (programming language),0
Distributed computing,Computational complexity theory,1
C (programming language),Computer programming,1
Computer simulation,Random variable,0
Virtual memory,Question answering,0
Prolog,Rendering (computer graphics),0
Graph coloring,Relational database,0
Machine translation,Algorithm,1
Artificial intelligence,Interaction design,0
Algorithm,Mathematical induction,1
Predicate logic,Reason,0
Abstraction (computer science),Computer science,1
Web service,Computer network,1
Scientific visualization,Computer graphics,1
Quantum computer,Computational complexity theory,1
Artificial intelligence,Numerical analysis,1
Data analysis,Database normalization,0
Geometric modeling,Computational geometry,1
Exponential family,Artificial intelligence,0
Computer animation,Image,1
Monte Carlo method,Algorithm,1
Database design,Partial differential equation,0
Quantum cryptography,Eigenvalues and eigenvectors,0
Visualization (computer graphics),Fast Fourier transform,0
Computation,Hidden Markov model,0
Algorithm,Logic,1
Pushdown automaton,Theory of computation,1
Artificial intelligence,Modular programming,0
Game theory,Probability theory,1
B-tree,Data structure,1
Computer programming,Logic,1
Cache coherence,Scalability,0
Gradient descent,Random walk,0
Inter-process communication,Operating system,1
Graph (mathematics),Statistics,0
Relational database,Relational model,1
Message passing,Linked list,0
Volume rendering,Rendering (computer graphics),1
Martingale (probability theory),Random variable,1
Firewall (computing),Computer security,1
Graph coloring,Lexical analysis,0
Inheritance (object-oriented programming),Concurrency control,0
Linear programming,Functional programming,0
Knowledge representation and reasoning,Logic,1
Natural language,Computer simulation,0
Distributed computing,Internet,0
Query optimization,SQL,1
Unix,Perl,0
Computer programming,Data structure,1
Traffic analysis,Tensor,0
Natural language processing,Algorithm design,1
Interaction design,Scalability,0
Complexity class,Randomization,0
Programming paradigm,Lisp (programming language),0
Object-oriented programming,Amortized analysis,0
Computing,Computation,1
GPU,Graph (mathematics),0
Quantum computer,Computational complexity theory,1
Concurrency control,Computer programming,1
Numerical analysis,Approximation,1
Syntax,Generic programming,0
Inheritance (object-oriented programming),Programming language,1
Algorithm,Computability,1
Scalability,Software design,1
Computational complexity theory,Algorithm,1
Theory of computation,Data analysis,0
Kernel (computing),Operating system,1
User interface design,User interface,1
Graph theory,Image processing,0
Natural language processing,Artificial intelligence,1
User interface,Entropy,0
Spanning tree,Linear programming,0
Data mining,JavaScript,0
Interface (computing),ML (programming language),0
Semantics of programming languages,Linear programming,0
Lexical semantics,Lisp (programming language),0
Run time (program lifecycle phase),Computer programming,0
Asymptotic analysis,Python (programming language),0
Computer science,Graph theory,1
Relational database,Database management system,1
OSI model,Run time (program lifecycle phase),0
Unix,Security,0
Algorithm,Combinatorics,1
Software engineering,Computational complexity theory,1
Numerical analysis,Polynomial,1
Ordinary differential equation,Nonlinear system,1
Artificial intelligence,Algorithm,1
Programming style,Computer programming,1
Software design,Programming language,1
Memory hierarchy,Computer architecture,1
Distributed computing,Computer programming,1
Scalability,Design pattern (computer science),0
Superscalar,Computational science,0
Semantics,Recursion (computer science),0
Software engineering,Differential equation,0
Polymorphism (computer science),Microprocessor,0
Abstraction (computer science),Context-free language,0
Scientific modelling,File system,0
Hash table,"Best, worst and average case",1
Computational complexity theory,Algorithm,1
Fast Fourier transform,Quantum cryptography,0
Imperative programming,Computer,1
Mathematical optimization,Random variable,1
Program optimization,Algorithm,1
Computer simulation,Interaction design,0
Finite difference,Numerical analysis,1
Natural language processing,Machine learning,1
Mutual exclusion,Abstract data type,0
Randomized algorithm,Conditional probability,1
Model of computation,Monte Carlo method,0
Theoretical computer science,Mathematics,1
Graphical model,Finite difference,0
Inter-process communication,Data mining,0
Knowledge representation and reasoning,Computer programming,0
Scientific visualization,Computer graphics,1
Cluster analysis,Abstraction (computer science),0
Web server,Image analysis,0
Parsing,Data structure,1
MATLAB,Programming language,1
Statistics,Graphical user interface,0
Assembly language,Instruction set,1
Approximation,Higher-order function,0
Object-oriented programming,Data,1
Garbage collection (computer science),Recursion (computer science),0
Lexical analysis,Programming language,1
Martingale (probability theory),Probability theory,1
Kinematics,Context-free language,0
Relational database,Superscalar,0
Partial differential equation,Differential equation,1
Computational complexity theory,Computational problem,1
Context-free grammar,Large deviations theory,0
Compiler,Regular expression,1
Natural language processing,Machine learning,1
Higher-order function,Run time (program lifecycle phase),0
Ray tracing (graphics),Computational geometry,1
Assembly language,Computer programming,1
Query language,Syntax,0
Halting problem,Data (computing),0
Least squares,Numerical analysis,1
C (programming language),Computing,1
Design pattern (computer science),Gradient descent,0
Algorithm design,Shading,0
Fourier analysis,Programming language,0
World Wide Web,Computer,1
Estimation theory,Computer software,0
Dynamic programming,Algorithm,1
Linear system,Matrix (mathematics),1
Volume rendering,Computer network,0
OSI model,Interaction design,0
Uncertainty,Security,0
Machine learning,Scheduling (computing),0
Peer-to-peer,Computer network,1
Data warehouse,Question answering,0
Scope (computer science),Recursion (computer science),0
Analysis of algorithms,Combinatorics,1
Procedural programming,Computer science,1
Artificial intelligence,Computer,1
Parsing,Finite-state machine,1
Mathematical model,Lexical analysis,0
Data analysis,Problem solving,1
3D computer graphics,Algorithm,1
Network security,Distributed algorithms,0
World Wide Web,Cryptanalysis,0
Lexical analysis,Computer science,1
Structured programming,Robot,0
Memory hierarchy,Natural language processing,0
Prolog,Logic programming,1
String (computer science),Input/output,0
Hidden Markov model,Probability theory,1
Bayesian network,Sparse matrix,0
Computational geometry,Data mining,0
Operating system,Computer,1
Artificial intelligence,Graph theory,1
User interface,NP (complexity),0
Network security,Mathematics,0
Concurrency control,Computer,1
Round-off error,Automata theory,0
Assembly language,Computer programming,1
Uncertainty,MapReduce,0
Microcode,Assembly language,1
Information assurance,Information security,1
Firewall (computing),Data,1
Perl,Computer,1
Image analysis,Data type,0
Server (computing),Programming language,0
Computer vision,Computer programming,1
Amortized analysis,"Best, worst and average case",1
Stochastic process,Random variable,1
Polymorphism (computer science),Traffic analysis,0
Context-free grammar,Computer science,1
Lexical analysis,Formal grammar,1
Relational database,Relational model,1
Shared memory,Web server,0
Linear algebra,World Wide Web,0
Web browser,Formal methods,0
Dynamic memory allocation,Operating system,1
Computer,Digital electronics,1
Data type,Predicate logic,0
Scalability,Finite element method,0
HTML,Computer,1
Expert system,Artificial intelligence,1
Cryptography,Mathematical proof,1
Computer,Recursion,0
Statistics,Mathematics,1
Motion planning,Design of experiments,0
Compiler,Computer science,1
Design of experiments,Conditional probability,0
Parallel algorithm,Computer science,1
Computer science,Public-key cryptography,0
Deadlock,Computer multitasking,1
Embedded system,Problem solving,0
Reason,Polynomial,0
Syntax,Random variable,0
Functional programming,Variable (computer science),1
Deadlock,Quantum computer,0
Hidden Markov model,Artificial intelligence,1
Bioinformatics,Algorithm,1
Database,Computer science,1
Computer network,Speech recognition,0
Type system,Programming language,1
Modular programming,Scope (computer science),1
Cloud computing,Assembly language,0
Compiler,Computer science,1
Semidefinite programming,Approximation algorithm,1
Communications protocol,Interface (computing),0
Prediction,Computer security,0
Information assurance,Algorithm design,0
Instruction set,Formal methods,0
Relational database management system,Database,1
Algorithm,Problem solving,1
Prediction,Markov process,0
Embedded system,Operating system,1
Estimation theory,Statistical inference,1
Entropy,Computer,0
Network security,Object (computer science),0
Concurrency (computer science),Parallel computing,1
Software engineering,Computer programming,1
Exponential family,Probability theory,1
Design pattern (computer science),Amortized analysis,0
Computer graphics,Computer science,1
Programming style,Statistics,0
Spanning tree,Monad (functional programming),0
Programming style,Computer programming,1
Random walk,Markov chain,1
Algorithm,Mathematics,1
Firewall (computing),Network security,1
Cloud computing,NP (complexity),0
Database system,Computability,0
Computer architecture,Computer,1
Parallel algorithm,Semantics of programming languages,0
Least squares,Numerical analysis,1
Mobile device,Human-computer interaction,0
Atomicity (database systems),Asymptotic analysis,0
Graphics processing unit,Computer graphics,1
Embedded system,Undecidable problem,0
Cache coherence,Parallel computing,1
Human-computer interaction,Interface (computing),1
Very long instruction word,Computer architecture,1
Logic programming,Lexical semantics,0
Quantum mechanics,Theoretical computer science,0
MapReduce,Theoretical computer science,0
Imperative programming,Higher-order function,1
Probability,Symmetric multiprocessing,0
Modular programming,Scope (computer science),1
Higher-order function,Number theory,0
Security,Input/output,0
Formal language,Computer science,1
Programming style,Interpolation,0
Automata theory,Genetic algorithm,0
Natural language processing,Semantics,1
Perl,Machine learning,0
Database design,Abstract data type,0
Interactivity,Computer science,1
Tensor,Multiplication,0
Data analysis,Program analysis,0
Abstraction (computer science),Computer science,1
String (computer science),Data (computing),1
Semantics,Matrix (mathematics),0
Genetic algorithm,Algorithm,1
Parallel computing,Time complexity,1
3D modeling,Algorithm,1
Communication,Garbage collection (computer science),0
JavaScript,Concurrency control,0
Artificial intelligence,Algorithm,1
Multiplication,Mathematics,1
JavaScript,Robot,0
Visualization (computer graphics),Mathematics,1
Integral,Computational science,0
Logic,Volume rendering,0
Context-free language,Regular language,0
Very long instruction word,Computer architecture,1
Computer vision,Computer science,1
Graphical model,User interface,0
Public-key cryptography,Algorithm,1
NP (complexity),Computational complexity theory,1
Numerical analysis,Eigenvalues and eigenvectors,1
Computer graphics,Geometry,1
Neural network,Machine learning,1
Number theory,Visualization (computer graphics),0
Stochastic process,Randomness,1
Data mining,Randomization,0
Motion capture,Logic,0
Communication,Inference,0
Memory hierarchy,Bayesian network,0
Fourier analysis,Amortized analysis,0
Finite difference,Polynomial,1
Random walk,Probability theory,1
Round-off error,Numerical analysis,1
Analysis of algorithms,Computation,1
Monte Carlo method,Computation,1
Atomicity (database systems),Database,1
Scripting language,Computer,1
Finite-state machine,Logic,1
Firewall (computing),Information assurance,1
Hash table,Computer network,0
Information assurance,Motion planning,0
Markov chain,Motion planning,0
Undecidable problem,Large deviations theory,0
Formal grammar,String (computer science),1
PageRank,Expected value,1
Randomized algorithm,Random variable,1
Virtual memory,Mathematical model,0
C (programming language),Arithmetic,1
Python (programming language),Random walk,0
Cryptography,Authentication,1
Artificial intelligence,Computer,1
Graph coloring,Graph theory,1
Ordinary differential equation,Foundations of mathematics,0
Cryptography,Authentication,1
Graph theory,Lisp (programming language),0
Speech recognition,Machine learning,1
Abstraction (computer science),Semidefinite programming,0
Pattern recognition,Computer science,1
Natural language processing,Computer science,1
Random walk,Graph (mathematics),1
Graphical model,Probability,1
Variable (computer science),Programming language,1
Integral,Eigenvalues and eigenvectors,0
Index (database),Relational database,1
Pattern recognition,Concurrent computing,0
Linear algebra,Mathematics,1
Bioinformatics,Computer programming,1
Communication,Unix,0
Computer simulation,Server (computing),0
Graphical user interface,Communication,0
Context-free grammar,Genetic algorithm,0
Least squares,Numerical analysis,1
3D modeling,Human-computer interaction,0
High-level programming language,Computer,1
Quantum computer,Uncertainty,0
Design of experiments,Statistical hypothesis testing,1
Authentication,Information security,1
Concurrency control,Algorithm design,1
Recurrence relation,Programming paradigm,0
Software development,JavaScript,0
Web browser,Computer,1
Sufficient statistic,Recursion,0
Imperative programming,Computer science,1
Ordinary differential equation,Knowledge representation and reasoning,0
Software framework,Control flow,1
Graphics,Speech recognition,0
Database normalization,Fast Fourier transform,0
Abstraction (computer science),Computer science,1
Pattern matching,Functional programming,1
Digital signature,Algorithm,1
Haskell (programming language),Computer programming,1
OSI model,Amortized analysis,0
Probability,Mathematics,1
Logic,Database system,0
Dynamic programming,Computer science,1
Mathematics,Introduction to Algorithms,0
Abstract data type,Computer science,1
Monad (functional programming),Input/output,1
Graph (mathematics),Query language,0
Public-key cryptography,Prediction,0
Modular programming,Formal language,0
Digital signature,Algorithm,1
Firewall (computing),Entropy,0
Queue (data structure),Array data structure,1
Random variable,Image processing,0
Peer-to-peer,Web search engine,0
Pushdown automaton,String (computer science),1
List of undecidable problems,Computational problem,1
Quantum cryptography,Numerical analysis,0
Object-oriented programming,Variable (computer science),1
Scripting language,Programming language,1
Computer programming,Programming style,0
World Wide Web,Compiler,0
Structured programming,Packet switching,0
Data (computing),Operating system,0
Decision theory,Statistical hypothesis testing,1
Security,Estimation theory,0
B-tree,Computer science,1
Sufficient statistic,Data,1
P versus NP problem,Computer science,1
Virtual memory,Computing,1
Memory hierarchy,Statistical inference,0
Random graph,Hash table,0
Web server,Operating system,1
Combinatorics,Algebra,1
Statistics,Randomness,1
Authentication,Message passing,0
Memory management,Rendering (computer graphics),0
Computer science,Scope (computer science),0
Arithmetic logic unit,Computer,1
Statistical hypothesis testing,Random variable,1
Volume rendering,Linear programming,0
Round-off error,Number theory,0
Interaction design,User interface,1
Inequality (mathematics),Mathematics,1
Control flow,Computer,1
Reinforcement learning,Machine learning,1
Conditional probability,Interaction design,0
Estimation theory,Probability,1
GPU,Index (database),0
Operating system,User interface,0
Approximation algorithm,Unix,0
Data analysis,Debugging,0
Authentication,Information security,1
Correlation and dependence,Data,1
Superscalar,Garbage collection (computer science),0
Genetic algorithm,Computer science,1
Statistics,Data,1
Internet,Stochastic process,0
Concurrency control,Arithmetic,0
Monte Carlo method,Algorithm,1
Partial differential equation,Fixed point (mathematics),0
Unix,Abstraction (computer science),0
Functional programming,Programming language,1
Gradient descent,Mathematical optimization,1
Deadlock,Operating system,1
Web service,Structured programming,0
Gradient descent,Mathematical optimization,1
Unsupervised learning,Cluster analysis,0
MATLAB,Arithmetic,0
Poisson distribution,Random variable,1
NP (complexity),Computer science,1
Analysis of algorithms,Algorithm,1
Inter-process communication,Scheduling (computing),0
Numerical analysis,Matrix (mathematics),1
Randomness,Uncertainty,0
Recommender system,Machine learning,1
Bayesian network,Conditional probability,1
Abstract data type,Integer,1
Pattern matching,Functional programming,1
Database,Object (computer science),1
Object-oriented programming,Dynamic memory allocation,0
Algorithm,Computability,1
Signal processing,Pushdown automata,0
Natural language,Memory hierarchy,0
Computational problem,Conditional probability,0
System programming,Formal verification,0
Scope (computer science),Data warehouse,0
Symbol table,Dynamic memory allocation,0
Martingale (probability theory),Formal methods,0
Numerical analysis,Algorithm,1
Lexical analysis,Computer science,1
Multiplication,Numerical analysis,0
Quantum computer,Monad (functional programming),0
Randomized algorithm,Introduction to Algorithms,1
Database system,Probability,0
Concurrency (computer science),Lock (computer science),0
Asymptotic analysis,Structured programming,0
Scheduling (computing),Mobile device,0
File system,Operating system,1
Random walk,Probability theory,1
Time complexity,Computational complexity theory,1
Haskell (programming language),Discrete mathematics,0
Object-oriented programming,Object (computer science),1
Machine translation,Interpolation,0
Divide and conquer algorithm,Cache coherence,0
Malware,Authentication,1
Scientific visualization,Computer graphics,1
Mechanical engineering,Recursion (computer science),0
Fixed point (mathematics),Turing machine,0
Instruction set,Computer,1
Context-free grammar,String (computer science),1
Congestion control,Partial differential equation,0
Very long instruction word,Approximation,0
Computer programming,Computer,1
Communications protocol,Synchronization,1
Web service,Internet Protocol Suite,0
Mathematical optimization,Arithmetic,1
Semidefinite programming,Turing machine,0
Recursion,JavaScript,0
World Wide Web,Malware,0
Cryptography,Amortized analysis,0
Lock (computer science),Index (database),0
Theoretical computer science,Computer science,1
Inter-process communication,Image processing,0
Mathematical optimization,Mathematical model,1
Semantics of programming languages,Formal verification,0
Concurrency control,Database management system,1
Relational database management system,Relational database,1
Tensor,Mathematics,1
Software testing,Reinforcement learning,0
Database normalization,Query language,0
Theoretical computer science,Mathematics,1
Design pattern (computer science),Recommender system,0
Randomness,Computational learning theory,0
Probability theory,Mathematics,1
Machine learning,Expected value,1
Unsupervised learning,Machine learning,1
Algorithm,Problem solving,1
Volume rendering,Data (computing),0
GPU,Fourier analysis,0
Quantum mechanics,Quantum computer,0
Algorithm,Theoretical computer science,1
Concurrency control,Computer programming,1
Automatic programming,Boundary value problem,0
Virtual reality,Scheduling (computing),0
Linked list,Computer science,1
Unix,SQL,0
Game theory,Mathematical model,1
Profiling (computer programming),Algorithm,1
Computer animation,Authentication,0
Inheritance (object-oriented programming),Bayesian,0
Pushdown automaton,Theory of computation,1
Personal computer,Entropy,0
Java (programming language),Programming language,1
Mathematical optimization,Mathematical model,1
Data analysis,System programming,0
ML (programming language),Functional programming,1
Personal computer,Design of experiments,0
Lexical analysis,Finite-state machine,1
Database,Object (computer science),1
Shortest path problem,NP-complete,1
Scalability,Pattern recognition,0
Sequence alignment,Formal verification,0
Pipeline (computing),Central processing unit,1
Social network,Graph (mathematics),1
Computer vision,Geometry,1
Automatic programming,Computer science,1
Hidden Markov model,Markov chain,1
Recursion (computer science),Algorithm,1
Finite-state machine,Automata theory,1
Shading,Formal verification,0
Differential equation,SQL,0
Abstract data type,Mutual exclusion,0
Computer science,Number theory,1
Scientific visualization,Cloud computing,0
Context-free language,Statistics,0
Iterative method,Arithmetic logic unit,0
Variable (computer science),World Wide Web,0
Turing machine,Mathematics,1
Computer science,Foundations of mathematics,1
Lexical analysis,Regular expression,1
Theory of computation,Mechanical engineering,0
Mathematical proof,Security,0
Markov chain,Computational science,0
Undecidable problem,Computer science,1
Dynamic programming,Mathematics,1
Computer science,Computer simulation,0
Parsing,Volume rendering,0
Program optimization,Algorithm,1
Machine learning,Probability theory,1
Markov process,Coding theory,0
Variable (computer science),Computing,0
Statistical inference,Halting problem,0
Knowledge representation and reasoning,Data structure,1
Model checking,Data mining,0
Conditional probability,Uncertainty,0
Computer graphics,Model checking,0
Hidden Markov model,Machine learning,1
Virtual reality,Parsing,0
ML (programming language),Unix,0
Input/output,Matrix (mathematics),0
JavaScript,Computer programming,1
Hidden Markov model,Artificial intelligence,1
Ray tracing (graphics),Computational geometry,1
Model of computation,Lisp (programming language),0
Computer architecture,Computer,1
Internet,Data warehouse,0
Martingale (probability theory),Random variable,1
Scalability,Shading,0
Computer animation,Mathematics,1
Data analysis,Partial differential equation,0
Java (programming language),Object-oriented programming,1
Profiling (computer programming),Java (programming language),0
Computational problem,Internet Protocol Suite,0
Computer simulation,Data mining,0
Object-oriented programming,Matrix (mathematics),0
Vulnerability (computing),Quantum mechanics,0
Firewall (computing),Parallel computing,0
File system,Sentiment analysis,0
Geometric modeling,Algorithm,1
Server (computing),Concurrent computing,0
Coding theory,MATLAB,0
Graphical model,Variable (computer science),0
Uncertainty,Volume rendering,0
NP (complexity),Turing machine,1
First-order logic,Recursion,1
Parsing,Lexical analysis,1
Graphical model,Scientific modelling,1
Prediction,Probability,1
Computer science,Quantum cryptography,0
Object (computer science),Computer science,1
Algorithm,Statistics,0
String (computer science),Computer programming,1
Semidefinite programming,Debugging,0
Computer science,Discrete mathematics,1
Functional programming,Document classification,0
Programming language,Computer,1
Data mining,Programming language,1
Model checking,Perl,0
OSI model,Logic,0
Random graph,Probability theory,1
Interpolation,Mathematics,1
Computer programming,Data structure,1
Artificial intelligence,Computer programming,1
Lazy evaluation,Interaction design,0
Vector processor,Interaction design,0
Linear system,Markov chain,0
Question answering,Dynamic programming,0
GPU,Linear system,0
Bayesian,Markov process,0
Computational geometry,Algorithm,1
Random graph,Computer graphics,0
Routing,Computer,1
Undecidable problem,Computer science,1
Arithmetic,Linked list,0
Autonomous robot,Motion planning,1
Markov chain,Cryptanalysis,0
Data warehouse,Data,1
Model checking,Computer science,1
Software framework,Model of computation,0
Rendering (computer graphics),Computer,1
Image analysis,Artificial intelligence,0
Image analysis,Markov process,0
Concurrency (computer science),Operating system,1
Autonomous robot,Robotics,1
Machine learning,Expected value,1
Software engineering,Object-oriented programming,1
Automatic programming,Operating system,0
Decision theory,Graph (mathematics),0
Autonomous robot,Robot,1
Random walk,Multiplication,0
Interactivity,Authentication,0
Scripting language,Computer programming,1
Data (computing),Routing,0
Software engineering,Algorithm,1
Machine learning,Computational complexity theory,1
Web service,Computer network,1
Database management system,Relational algebra,1
Gradient descent,Algorithm,1
Hidden Markov model,Probability theory,1
Arithmetic,World Wide Web,0
Boundary value problem,Nonlinear system,1
File system,Computing,1
Random variable,Game theory,0
3D computer graphics,Algorithm,1
Authentication,Machine translation,0
Social network,Peer-to-peer,0
Hash table,Concurrent computing,0
Autonomous robot,Motion planning,1
Robotics,Robot,1
Quantum mechanics,Context-free grammar,0
Computational geometry,Computer graphics,1
Context-free language,Regular expression,0
Spanning tree,Problem solving,0
Predicate logic,Knowledge representation and reasoning,0
Variable (computer science),Computer programming,1
Digital signature,Computation,0
Data type,Programming language,1
Cryptography,Probability theory,1
Uncertainty,Sentiment analysis,0
Estimation theory,Expected value,1
Database management system,Database transaction,1
Computing,Complexity,0
Mutual exclusion,Uncertainty,0
JavaScript,Computational problem,0
Computer science,Number theory,1
C++,Floating point,1
Speech recognition,Artificial intelligence,1
Data warehouse,Inheritance (object-oriented programming),0
Program analysis,JavaScript,0
Recommender system,Machine learning,1
Bioinformatics,Distributed algorithms,0
Markov process,Probability theory,1
Regular language,Software development,0
Computational science,Document classification,0
File system,Computing,1
Bayesian network,Computational learning theory,0
Time complexity,Bayesian,0
Analysis of algorithms,Turing machine,1
Tensor,Conditional probability,0
Query optimization,Database,1
Algebra,Arithmetic,1
PSPACE,Turing machine,1
NP-complete,Algorithm,1
User interface,Atomicity (database systems),0
Parallel algorithm,Parallel computing,1
Network security,Computer security,1
Interface (computing),Expert system,0
Data analysis,Application programming interface,0
Graphical model,Machine learning,1
Data structure,Computer science,1
Randomized algorithm,Conditional probability,1
Object-oriented programming,Abstract data type,1
Human-computer interaction,Interface (computing),1
Input/output,Mathematical proof,0
Motion planning,Denotational semantics,0
Undecidable problem,Algorithm,1
Computational complexity theory,Theoretical computer science,1
Shading,Semantics of programming languages,0
Kernel (computing),Round-off error,0
Algorithm,Abstract data type,0
Personal computer,hypothesis testing,0
Higher-order function,SQL,0
Assembly language,Computer programming,1
Message passing,Computational geometry,0
Martingale (probability theory),Data (computing),0
Database,Graphical user interface,0
Statistical hypothesis testing,Statistical inference,1
Estimation theory,Large deviations theory,0
Boundary value problem,Coding theory,0
Statistics,Arithmetic,1
Semidefinite programming,Transaction processing,0
Profiling (computer programming),Algorithm,1
Ray tracing (graphics),Computational geometry,1
Relational database,Relational algebra,1
Hash table,Functional programming,0
Malware,Computer security,1
Application software,Computer,1
Inequality (mathematics),Calculus,0
Introduction to Algorithms,Ordinary differential equation,0
Symbol table,Variable (computer science),0
Combinatorics,Complexity,0
Kernel (computing),Software development,0
Lexical semantics,Context-free grammar,0
Estimation theory,Statistical inference,1
Virtual reality,Lexical analysis,0
Graph theory,Discrete mathematics,1
Query optimization,Differential equation,0
Mathematical optimization,Linear algebra,1
Recommender system,Approximation,0
Data (computing),Software testing,0
Regular language,Algorithm,0
