concept1,concept2,label
Profiling (computer programming),Boundary value problem,0
MATLAB,Scientific modelling,0
Superscalar,Multi-core processor,1
Partial differential equation,Run time (program lifecycle phase),0
Combinatorics,Complexity,0
Partial differential equation,Graph theory,0
Approximation,Higher-order function,0
Algorithm design,Algorithm,1
Robot,Software framework,0
Kernel (computing),Computability,0
Symmetric multiprocessing,Kinematics,0
Congestion control,Partial differential equation,0
Cache coherence,Natural language processing,0
Poisson distribution,Probability theory,1
Theoretical computer science,Computation,1
Sentiment analysis,PSPACE,0
Question answering,Expert system,1
Imperative programming,Higher-order function,1
Poisson distribution,Probability theory,1
Communication,Markov chain,0
Recurrence relation,Application programming interface,0
File system,Recursion (computer science),0
Malware,Computer network,1
Computability,Decision theory,0
Data mining,Algorithm,1
Interactivity,Numerical analysis,0
Boundary value problem,Distributed algorithms,0
Speech recognition,Computer science,1
Web service,Structured programming,0
Query optimization,Question answering,0
Synchronization,Lazy evaluation,0
Hash table,Programming style,0
Suffix tree,String searching algorithm,1
Data type,Computer science,1
Arithmetic logic unit,Computer,1
Mathematical optimization,Matrix (mathematics),1
Input/output,Profiling (computer programming),0
Automated theorem proving,Mathematical proof,1
Parallel computing,Lock (computer science),1
Operating system,Computer programming,1
Logic programming,Lexical semantics,0
Graph theory,Computational science,1
Logic,Database system,0
Semantics,Recursion (computer science),0
Public-key cryptography,Discrete mathematics,1
Distributed computing,Mutual exclusion,1
JavaScript,World Wide Web,1
Imperative programming,Higher-order function,1
Central processing unit,Computer architecture,1
Machine learning,Algorithm,1
Theoretical computer science,Discrete mathematics,1
Randomness,Uncertainty,0
Software development,Data structure,1
Polymorphism (computer science),Rendering (computer graphics),0
Design pattern (computer science),Gradient descent,0
Machine learning,Graph theory,1
String (computer science),Data (computing),1
Index (database),Database,1
Hash table,Computer network,0
Statistical inference,Pattern matching,0
Cryptography,Mathematics,1
Recursion,Fixed point (mathematics),0
Unsupervised learning,Artificial intelligence,0
CPU cache,Computer,1
Analysis of algorithms,Asymptotic analysis,1
Finite set,Mathematics,1
Theoretical computer science,Profiling (computer programming),0
Functional programming,Recursion,1
Artificial intelligence,Programming language,1
Computer simulation,Random variable,0
Document classification,Computer science,1
Sparse matrix,Database normalization,0
Python (programming language),Object-oriented programming,1
Data (computing),Cloud computing,0
Concurrent computing,Model of computation,0
Iterative method,Eigenvalues and eigenvectors,0
Analysis of algorithms,Computation,1
Cryptography,Computer security,1
Finite-state machine,Theory of computation,1
Software testing,Object-oriented programming,0
Motion planning,Robotics,1
Probability,Uncertainty,1
Mathematical proof,Problem solving,0
Visualization (computer graphics),Computer graphics,1
Lisp (programming language),Programming language,1
Virtual memory,Computing,1
Java (programming language),Computer programming,1
Software framework,Image processing,0
Computing,Geometric modeling,0
Object-oriented programming,Structured programming,1
Linear system,Compiler,0
Graphical model,Variable (computer science),0
Scope (computer science),Recursion (computer science),0
Synchronization,NP (complexity),0
Computational complexity theory,Foundations of mathematics,1
Sentiment analysis,Theory of computation,0
Cryptography,Mathematical proof,1
Computer programming,Computing,1
Malware,Authentication,1
Rendering (computer graphics),Stochastic,0
Programming style,Interpolation,0
Feature extraction,Undecidable problem,0
Natural language,Computer simulation,0
Computer programming,Higher-order function,0
Database system,Computability,0
Relational database,Database,1
Cache coherence,Shared memory,1
Random graph,Combinatorics,1
Time complexity,Algorithm,1
Context-free language,Type system,0
Object-oriented programming,Computer science,1
Computer graphics,Data,1
Interactivity,Authentication,0
MATLAB,Reinforcement learning,0
Query language,Automata theory,0
Inequality (mathematics),Scientific visualization,0
Relational model,Cryptography,0
Very long instruction word,Matrix (mathematics),0
Syntax,Generic programming,0
Mathematical model,Inequality (mathematics),0
Interface (computing),Expert system,0
Computational learning theory,Fixed point (mathematics),0
Computer network,Routing,0
Firewall (computing),Information security,1
Arithmetic logic unit,Combinational logic,1
Artificial intelligence,Algorithm,1
Divide and conquer algorithm,Artificial intelligence,0
Computing,Computation,1
List of undecidable problems,Computational problem,1
Linear system,Matrix (mathematics),1
Kinematics,Context-free language,0
Virtual memory,Interface (computing),0
Lexical analysis,Finite-state machine,1
Bayesian probability,Random variable,1
Object-oriented programming,Design pattern (computer science),1
User interface design,Data mining,0
Algorithm,Theoretical computer science,1
Computational problem,Computing,0
Undecidable problem,Large deviations theory,0
Data analysis,Database normalization,0
Complexity class,Randomization,0
Random graph,Mathematics,1
Computing,Pushdown automata,0
Quantum computer,Computational complexity theory,1
Virtual memory,Question answering,0
GPU,Fourier analysis,0
Software engineering,Theory of computation,1
Scope (computer science),Approximation algorithm,0
3D modeling,Algorithm,1
Syntax,Social network,0
Kernel (computing),Software development,0
Inference,Probability,1
Machine learning,Probability theory,1
Robotics,Robot,1
Coding theory,Variable (computer science),0
Mathematical optimization,Integer,1
Computational complexity theory,Complexity,1
Poisson distribution,Probability theory,1
Computer science,Web server,0
Recursively enumerable set,Markov chain,0
Game theory,Instruction set,0
Interaction design,Scalability,0
Inequality (mathematics),OSI model,0
Algorithm,Abstract data type,0
Digital signature,Computation,0
Data type,Robotics,0
Reinforcement learning,Number theory,0
Linear system,Markov chain,0
Polymorphism (computer science),Reason,0
Scheduling (computing),Computing,1
Arithmetic,Finite element method,0
Algorithm,Abstraction (computer science),1
Randomness,Automata theory,0
Transaction processing,Database management system,1
Interface (computing),Distributed computing,0
Interaction design,User interface,1
Virtual memory,Database system,0
Design of experiments,Knowledge representation and reasoning,0
MapReduce,Bayesian network,0
Correlation and dependence,Random variable,1
Computational problem,Differential equation,0
Spanning tree,Query language,0
Scientific modelling,Probability theory,0
Scalability,Pattern recognition,0
Computer science,Logic,1
Polymorphism (computer science),Ordinary differential equation,0
Parallel computing,Lock (computer science),1
Semantics of programming languages,Linear programming,0
Data analysis,Application programming interface,0
Arithmetic logic unit,Linear programming,0
Prediction,Computer security,0
Firewall (computing),Reinforcement learning,0
Arithmetic logic unit,Digital electronics,1
Random walk,Graph (mathematics),1
Context-free grammar,Run time (program lifecycle phase),0
Randomized algorithm,Introduction to Algorithms,1
User interface design,Random walk,0
Lisp (programming language),Scope (computer science),1
Superscalar,Multi-core processor,1
Application software,Computer,1
Hash table,Packet switching,0
Finite-state machine,Bioinformatics,0
Amortized analysis,Image processing,0
Theoretical computer science,Mathematics,1
Data warehouse,Generic programming,0
Complexity class,Computational complexity theory,1
Perl,Compiler,1
Martingale (probability theory),Lock (computer science),0
String (computer science),Data (computing),1
Dynamic programming,Recursion,1
Analysis of algorithms,Graph theory,1
Graph theory,Image processing,0
Object-oriented programming,Abstract data type,1
Malware,Computer security,1
Internet Protocol Suite,Computer,1
Estimation theory,Expected value,1
Machine translation,Natural language,1
Memory management,Arithmetic logic unit,0
Cryptography,Number theory,1
Volume rendering,Semantics of programming languages,0
JavaScript,Computer simulation,0
Symbol table,GPU,0
Model checking,Algorithm,1
Spanning tree,Round-off error,0
Recursion,Logic,1
User interface,Undecidable problem,0
Computational chemistry,Algorithm,1
Graph coloring,Relational database,0
Asymptotic analysis,Computational learning theory,0
Data warehouse,Visualization (computer graphics),0
Formal verification,Social network,0
Stochastic process,Computational problem,0
Markov chain,Random variable,1
Object-oriented programming,Unsupervised learning,0
Pushdown automaton,Computer science,1
Microprocessor,Question answering,0
Algorithm,Discrete mathematics,1
Computer vision,Artificial intelligence,1
Model of computation,Lisp (programming language),0
Authentication,Big data,0
Conditional probability,Stochastic process,0
Syntax,Instruction set,0
Unsupervised learning,Design pattern (computer science),0
Statistics,Randomness,1
Computer programming,Data structure,1
Scripting language,Prolog,0
NP (complexity),Computational complexity theory,1
Index (database),Computer programming,1
Asymptotic analysis,Computer architecture,0
Computer,Recursion,0
Mathematical model,Integer,1
Virtual reality,Analysis of algorithms,0
Statistical inference,Data,1
Formal verification,Reason,0
Floating point,Shared memory,0
User interface,Atomicity (database systems),0
Query optimization,Differential equation,0
Public-key cryptography,Algorithm,1
Distributed computing,Operating system,1
Integer,MapReduce,0
Software design,Computer programming,1
Mutual exclusion,Uncertainty,0
Computational complexity theory,Algorithm design,1
Database design,Partial differential equation,0
Internet Protocol Suite,Graph theory,0
Data (computing),Software testing,0
MapReduce,Recursion,0
Computer animation,Ray tracing (graphics),1
Spanning tree,Problem solving,0
Regular language,Algorithm,0
Superscalar,Computational science,0
Natural language processing,Graph theory,1
Parsing,Lexical analysis,1
"Best, worst and average case",Computer science,1
Linear system,Interface (computing),0
Interface (computing),Computational geometry,0
Martingale (probability theory),Design pattern (computer science),0
Image analysis,Computer science,1
Database,Data,1
Application programming interface,Atomicity (database systems),0
Software testing,Programming language,1
Mechanical engineering,Generic programming,0
Cache coherence,Deadlock,0
Relational database,Superscalar,0
Spanning tree,Distributed computing,0
Asymptotic analysis,Structured programming,0
Kernel (computing),Round-off error,0
Relational model,Data type,1
Cryptographic hash function,Encryption,1
Network security,Distributed algorithms,0
Parsing,Volume rendering,0
Halting problem,Computability,1
Multiplication,Numerical analysis,0
hypothesis testing,Game theory,0
Distributed computing,Internet,0
Input/output,Mathematical proof,0
Tensor,GPU,0
Quantum computer,Theoretical computer science,1
Sparse matrix,Random graph,0
Memory management,Rendering (computer graphics),0
Speech recognition,Machine learning,1
Mobile device,Computer,1
Java (programming language),Object-oriented programming,1
Computer architecture,Computer,1
Relational database management system,Relational algebra,1
Statistics,Random walk,0
Wireless sensor network,Communication,1
OSI model,Interaction design,0
Random walk,Probability theory,1
Database design,Abstract data type,0
Signal processing,Pushdown automata,0
Internet,Stochastic process,0
World Wide Web,Malware,0
Sequence alignment,Formal verification,0
Denotational semantics,Index (database),0
Information theory,Knowledge representation and reasoning,0
Unix,Security,0
Volume rendering,Computer graphics,1
Communication,Boundary value problem,0
Software design,Abstract data type,0
Network security,Semantics of programming languages,0
Data warehouse,Query language,0
Database,Computer science,1
Calculus of variations,Continuous function,1
Ray tracing (graphics),Rendering (computer graphics),1
Natural language processing,Graph theory,1
Computer programming,Denotational semantics,0
Web browser,Computer,1
Round-off error,Number theory,0
Natural language processing,Computer science,1
Recursion (computer science),Algorithm,1
Image processing,Computer programming,1
Spanning tree,Monad (functional programming),0
Uncertainty,MapReduce,0
Approximation algorithm,Unix,0
Cache coherence,Scalability,0
Data mining,Data,1
Relational database,Computer science,1
Parallel computing,Software framework,0
Computer,Game theory,0
Software framework,Model of computation,0
Stochastic process,Probability theory,1
Markov chain,Conditional probability,1
Stochastic process,Continuous function,1
Analysis of algorithms,Computational complexity theory,1
Algorithm design,Routing,0
Ray tracing (graphics),Computational geometry,1
Approximation algorithm,Introduction to Algorithms,1
Random walk,Probability theory,1
CPU cache,Central processing unit,1
Kernel (computing),Sparse matrix,0
Martingale (probability theory),Random variable,1
Semantics,Syntax,1
Random graph,Computer graphics,0
Control flow,Computer,1
Web browser,Formal methods,0
Concurrency control,Database management system,1
Large deviations theory,Spanning tree,0
Web service,Logic programming,0
Analysis of algorithms,Computer programming,1
Memory hierarchy,Natural language processing,0
Unix,Kernel (computing),0
Calculus of variations,Integral,1
Compiler,Assembly language,1
Computer network,Data (computing),1
Random variable,Image processing,0
Spanning tree,Linear programming,0
Virtual reality,Parsing,0
Computational complexity theory,Computer science,1
Motion capture,Computer graphics,1
Program analysis,Scientific modelling,0
Lexical analysis,Volume rendering,0
SQL,Computer science,1
Server (computing),Randomized algorithm,0
Lazy evaluation,Programming language,1
Variable (computer science),Computing,0
Formal language,SQL,0
Fast Fourier transform,Rendering (computer graphics),0
Symmetric multiprocessing,Concurrency (computer science),1
Computing,Automatic programming,0
Database design,Database system,1
Coding theory,MATLAB,0
Object-oriented programming,Programming language,1
Computational complexity theory,Algorithm,1
Graphical user interface,Computer,1
Document classification,OSI model,0
Computability,Computer science,1
Finite element method,Monad (functional programming),0
Finite difference,Numerical analysis,1
Newton's method,Approximation,1
Least squares,Numerical analysis,1
Embedded system,Microprocessor,1
Hidden line removal,Algorithm,1
Quantum mechanics,Probability,1
Scripting language,Programming language,1
Computational science,Machine translation,0
Integral,Mathematics,1
Data (computing),Operating system,0
Parallel computing,Time complexity,1
Computer programming,Computational science,1
Object-oriented programming,High-level programming language,1
Computer architecture,Linear algebra,0
Sufficient statistic,Random variable,1
Combinatorics,Mathematics,1
Inference,Finite-state machine,0
Quantum mechanics,Quantum computer,0
Web browser,Shading,0
Geometry,Abstract data type,0
Interface (computing),Image,0
Pattern matching,String (computer science),1
Machine learning,Probability theory,1
Scope (computer science),Inheritance (object-oriented programming),0
Statistical inference,Wavelet,0
Programming style,Computer programming,1
Iterative method,Arithmetic logic unit,0
Knowledge representation and reasoning,Logic,1
Sequence alignment,Query language,0
Database,Object (computer science),1
Integral,Computational science,0
Lisp (programming language),Logic programming,1
Multi-core processor,Central processing unit,1
Model of computation,Computer science,1
Malware,Computational complexity theory,0
GPU,Linear system,0
Random graph,Combinatorics,1
Logic,Volume rendering,0
SQL,Amortized analysis,0
Expert system,Cluster analysis,0
Abstraction (computer science),Computer science,1
Information assurance,Algorithm design,0
Artificial intelligence,Modular programming,0
Image processing,Computer programming,1
Inference,Probability,1
Web service,Fast Fourier transform,0
Tensor,Haskell (programming language),0
Database,Algorithm design,1
Decision theory,Geometric modeling,0
Computer,Quantum mechanics,0
Parallel algorithm,Algorithm,1
Martingale (probability theory),Data (computing),0
Cache coherence,Shared memory,1
Computer programming,Computer,1
Computational geometry,Data mining,0
Social network,Peer-to-peer,0
Software framework,Control flow,1
Software engineering,Embedded system,0
Abstraction (computer science),Semidefinite programming,0
Natural language processing,Natural language,1
MapReduce,Graph theory,0
Database system,Image processing,0
Randomized algorithm,Algorithm,1
Amortized analysis,Monte Carlo method,0
Speech recognition,Markov chain,1
Pushdown automaton,String (computer science),1
Decision theory,Kinematics,0
hypothesis testing,Scientific modelling,0
Interface (computing),ML (programming language),0
Concurrency control,Computer,1
Mathematical induction,Mathematical proof,1
Input/output,Interpolation,0
Message Passing Interface,Inter-process communication,1
PSPACE,Computational complexity theory,1
Computer simulation,Interaction design,0
SQL,Computer science,1
Computer network,Computer science,1
Deadlock,Computer multitasking,1
C (programming language),Computer,1
Machine translation,Introduction to Algorithms,0
Bioinformatics,Natural language,0
Very long instruction word,Approximation,0
Virtual memory,Mathematical model,0
Database system,Probability,0
Human-computer interaction,Interactivity,1
Database system,Database,1
Virtual reality,Logic programming,0
Stochastic process,Randomization,1
Autonomous robot,Robot,1
Database,Data (computing),1
Algorithm,Mathematics,1
Formal grammar,String (computer science),1
Bayesian,ML (programming language),0
Peer-to-peer,Theoretical computer science,0
Linked list,Computer science,1
Stochastic process,Random variable,1
Embedded system,Problem solving,0
Abstraction (computer science),Computer programming,1
Markov chain,Motion planning,0
Computer software,Operating system,1
List of undecidable problems,Computational problem,1
Programming language,Automata theory,1
Python (programming language),Routing,0
JavaScript,Computer,1
Computer simulation,Integral,0
Computer graphics,Data,1
Integral,Mathematics,1
Structured programming,Packet switching,0
Quantum computer,Computer science,1
HTML,Ordinary differential equation,0
Question answering,Scripting language,0
Programming language,Automata theory,1
Design pattern (computer science),Amortized analysis,0
Run time (program lifecycle phase),Algorithm,0
Inequality (mathematics),Kernel (computing),0
Assembly language,Computer science,1
Reason,Statistical inference,0
Machine learning,Expected value,1
Theory of computation,Data type,0
Database normalization,Fast Fourier transform,0
Machine learning,Artificial intelligence,1
Statistical inference,Random variable,1
Central processing unit,Computer,1
Object (computer science),Computer science,1
Processor register,Stack (data structure),1
Scripting language,ML (programming language),0
SQL,Statistics,0
Python (programming language),Automata theory,0
Computer graphics,Algorithm design,1
Virtual reality,Interactivity,1
Algorithm design,Shading,0
Microcode,Computer,1
System programming,Computer programming,1
Debugging,Computer programming,1
Differential equation,SQL,0
Inheritance (object-oriented programming),Assembly language,0
Spanning tree,ML (programming language),0
Operating system,Data mining,0
Bioinformatics,Lexical semantics,0
Linear programming,Functional programming,0
Programming language,Data structure,1
Nonlinear system,Pattern recognition,0
User interface,NP (complexity),0
Document classification,Machine learning,1
Assembly language,Computer programming,1
Image,Parallel computing,0
Correlation and dependence,Data,1
Communications protocol,Synchronization,1
Signal processing,Multiplication,0
Randomized algorithm,Algorithm,1
Theory of computation,Scalability,0
Software engineering,Object-oriented programming,1
Reason,String (computer science),0
Concurrent computing,Computer,1
Debugging,Symmetric multiprocessing,0
Graphical model,Scientific modelling,1
Software engineering,Object-oriented programming,1
Atomicity (database systems),Database,1
Formal verification,Computer science,1
Parsing,Algorithm design,1
Graph theory,Statistical inference,0
Software framework,System programming,0
Stochastic process,Continuous function,1
Matrix (mathematics),Mathematics,1
Recursively enumerable set,Algorithm,1
Computational chemistry,Computer science,1
Flow network,Introduction to Algorithms,1
Spanning tree,Computational complexity theory,0
GPU,Shared memory,0
Graphical user interface,Computer,1
Database,Data,1
Pattern matching,String (computer science),1
Cluster analysis,Abstraction (computer science),0
Scheduling (computing),Operating system,1
Integral,Network security,0
Software engineering,Theory of computation,1
Digital signature,Bayesian,0
Genetic algorithm,Algorithm,1
Recursively enumerable set,Floating point,0
Spanning tree,Mathematics,1
Graph coloring,Lexical analysis,0
Software testing,Software development,1
Computer science,Multiplication,0
Run time (program lifecycle phase),Recurrence relation,0
Computer graphics,Data,1
Semantics of programming languages,Programming language,1
Database design,Relational model,1
Asymptotic analysis,Python (programming language),0
C (programming language),Computer,1
Computing,Concurrent computing,0
Computational complexity theory,Foundations of mathematics,1
Transaction processing,Computer programming,1
Lisp (programming language),Programming language,1
Concurrency control,Parallel computing,0
Debugging,Control flow,1
Operating system,Computer programming,1
Formal language,Discrete mathematics,1
Mutual exclusion,Abstract data type,0
P versus NP problem,Computer science,1
Computation,String (computer science),0
Garbage collection (computer science),Concurrency control,0
Fast Fourier transform,Quantum cryptography,0
Eigenvalues and eigenvectors,Calculus,0
JavaScript,Computer programming,1
Data mining,Computer science,1
Random graph,Hash table,0
Virtual reality,Scheduling (computing),0
Functional programming,Computer science,1
Recursively enumerable set,Robotics,0
Finite-state machine,Computer science,1
Cluster analysis,Bayesian,0
Signal processing,Nonlinear system,0
User interface,Internet,0
Atomicity (database systems),Visualization (computer graphics),0
CPU cache,Computer,1
Monte Carlo method,Computation,1
Database management system,Computer science,1
Mutual exclusion,Shading,0
Randomized algorithm,Iterative method,0
Program analysis,Input/output,0
Concurrency control,Perl,0
Context-free language,Statistics,0
Distributed algorithms,Parallel algorithm,0
Rendering (computer graphics),Mathematics,1
Time complexity,Bayesian,0
Data analysis,Problem solving,1
String searching algorithm,Introduction to Algorithms,1
Quantum cryptography,Numerical analysis,0
String (computer science),Fourier analysis,0
Arithmetic,World Wide Web,0
Debugging,Control flow,1
Data structure,Data,1
Unix,Visualization (computer graphics),0
Boundary value problem,Coding theory,0
Hidden Markov model,Dynamic programming,1
Mobile device,Human-computer interaction,0
Profiling (computer programming),Algorithm,1
Database management system,Computer science,1
Computational science,Document classification,0
Theoretical computer science,Haskell (programming language),0
Bayesian network,Modular programming,0
Random graph,Mathematics,1
Communication,Bayesian network,0
Analysis of algorithms,Graph theory,1
Foundations of mathematics,Formal verification,0
Model checking,Data mining,0
Computer programming,Arithmetic,1
Martingale (probability theory),Expected value,1
Analysis of algorithms,Asymptotic analysis,1
Recursion,Logic,1
Cryptography,Computer science,1
Firewall (computing),Information assurance,1
JavaScript,World Wide Web,1
Quantum computer,Bayesian network,0
Theoretical computer science,Packet switching,0
Artificial intelligence,Mathematics,1
Assembly language,Lock (computer science),0
Formal language,Algebra,0
Object-oriented programming,Structured programming,1
ML (programming language),Programming language,1
Compiler,Parsing,1
Stochastic process,Random variable,1
Model checking,Combinatorics,0
Graphics,Security,0
Linear programming,Mathematical optimization,1
Virtual memory,Operating system,1
Knowledge representation and reasoning,Computer science,1
Pattern matching,String (computer science),1
PSPACE,Turing machine,1
Scheduling (computing),Mobile device,0
Knowledge representation and reasoning,Linear system,0
Prediction,Programming paradigm,0
Time complexity,Computer science,1
Rendering (computer graphics),Computer,1
Higher-order function,SQL,0
Inference,Theory of computation,0
Finite-state machine,Combinatorics,0
MATLAB,Mechanical engineering,0
Inequality (mathematics),Quantum mechanics,0
Scripting language,Computer,1
Information theory,Type system,0
Computer science,Number theory,1
Boundary value problem,Ordinary differential equation,1
Sentiment analysis,Natural language processing,1
Exponential family,Graph coloring,0
Natural language processing,Unsupervised learning,1
Asymptotic analysis,Application programming interface,0
Cluster analysis,Compiler,0
Scientific visualization,Pattern matching,0
Mathematics,Matrix (mathematics),0
Symbol table,Variable (computer science),0
Computational complexity theory,Theoretical computer science,1
Higher-order function,Number theory,0
Relational database,Relational model,1
Mathematics,Database normalization,0
Operating system,Monad (functional programming),0
Computational complexity theory,Integer,1
Procedural programming,Computer science,1
Object-oriented programming,Variable (computer science),1
Analysis of algorithms,Geometric modeling,0
Superscalar,Garbage collection (computer science),0
Speech recognition,Computer science,1
Graph coloring,Graph theory,1
Automata theory,Genetic algorithm,0
Communications protocol,Algorithm,1
Robot,Data (computing),0
Complexity class,Computational complexity theory,1
Database management system,Computer,1
Python (programming language),Computer,1
Geometry,Matrix (mathematics),1
High-level programming language,Computer science,1
Problem solving,Asymptotic analysis,0
Run time (program lifecycle phase),Computer programming,0
Neural network,Machine learning,1
Number theory,Visualization (computer graphics),0
Communications protocol,Algorithm,1
Concurrency (computer science),Computation,1
Distributed computing,Data mining,0
Shading,Lexical semantics,0
Lisp (programming language),Scope (computer science),1
Martingale (probability theory),Formal methods,0
Superscalar,Programming style,0
Relational algebra,Natural language,0
World Wide Web,Compiler,0
Boundary value problem,Partial differential equation,1
Query optimization,Index (database),1
Autonomous robot,Motion planning,1
Conditional probability,Python (programming language),0
Polynomial,Boundary value problem,0
Software development,Software engineering,1
Virtual memory,Computing,1
Traffic analysis,Programmer,0
Relational model,Object (computer science),1
Object-oriented programming,Matrix (mathematics),0
Lexical analysis,Formal grammar,1
Machine learning,Expected value,1
Turing machine,Theory of computation,1
Scheduling (computing),Operating system,1
Instruction set,Formal methods,0
Stochastic process,Probability theory,1
3D computer graphics,Algorithm,1
Flow network,Introduction to Algorithms,1
Recursively enumerable set,Recursion,1
Machine translation,Artificial intelligence,1
Message passing,Computer science,1
Speech recognition,Computer science,1
Assembly language,Motion planning,0
Java (programming language),Probability,0
Hash table,Concurrent computing,0
Malware,Robotics,0
Linear algebra,Mathematics,1
Lexical semantics,Lisp (programming language),0
Exponential family,Symmetric multiprocessing,0
Communications protocol,Synchronization,1
Debugging,Control flow,1
Computational complexity theory,Theoretical computer science,1
Bioinformatics,Analysis of algorithms,1
Parallel computing,Time complexity,1
Interface (computing),Prediction,0
Variable (computer science),Monte Carlo method,0
Query optimization,Database management system,1
Question answering,Data warehouse,0
Random graph,Mathematical model,0
Cluster analysis,Computer science,1
Cryptanalysis,Information security,1
Distributed algorithms,Statistical inference,0
Divide and conquer algorithm,Cache coherence,0
Model of computation,Human-computer interaction,0
Program analysis,Query optimization,0
Atomicity (database systems),Asymptotic analysis,0
Cloud computing,NP (complexity),0
Computer science,Mathematics,1
Query language,Syntax,0
Statistics,Arithmetic,1
Parsing,Computer programming,1
Algorithm design,Computer science,1
Robotics,Dynamic programming,0
Java (programming language),Data structure,1
Lexical semantics,Context-free grammar,0
String searching algorithm,Algorithm,1
Randomness,Mathematics,1
Vulnerability (computing),Quantum mechanics,0
Firewall (computing),Parallel computing,0
Programming paradigm,Lisp (programming language),0
Natural language processing,Unsupervised learning,1
Algorithm design,Mathematics,1
Malware,Recursion (computer science),0
Cryptanalysis,Modular arithmetic,1
Internet Protocol Suite,Prolog,0
Computer programming,Computer,1
Computer science,Computer,1
Computer science,Discrete mathematics,1
Lock (computer science),Reinforcement learning,0
Machine translation,Artificial intelligence,1
Computer simulation,Wavelet,0
Computer vision,Computer science,1
